danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,duration,track_uri,clusterId
0.527,0.891,7,-1.511,0.0724,0.119,0.0,0.208,0.39,127.097,永遠に光れ (Everlasting Shine),191147,spotify:track:3zLCX1TGMpsA67cW2pq6ut,4
0.538,0.506,0,-8.687,0.0299,0.43,1.85e-05,0.37,0.428,88.004,透明,230146,spotify:track:6HM9odeh1TcxBlkghy69iO,4
0.497,0.947,7,-3.99,0.061,0.0351,1.33e-05,0.191,0.302,169.995,Tiny Light,290813,spotify:track:3nMWM6o4pD6lAkDRPdcqvh,4
0.477,0.954,5,-2.4,0.0729,0.00387,2.39e-06,0.386,0.455,87.434,Sing My Pleasure,289274,spotify:track:6wOazYrDGLhMAhwU6RArlg,4
0.649,0.832,5,-6.102,0.0388,0.00817,0.0,0.114,0.593,124.027,TWISTED HEARTS,261390,spotify:track:3Cr8kgUv66Gx8sT6g9DJ9n,2
0.613,0.604,11,-9.558,0.03,0.422,2.7e-05,0.113,0.326,91.01,A Promise,292320,spotify:track:7KvI1c4vmNOwEJlKVH3c6n,2
0.413,0.641,8,-4.087,0.033,0.138,1.1e-05,0.0859,0.112,143.843,Mother,429467,spotify:track:0GlejgfH8mrHTcJjqfcw6s,2
0.479,0.682,9,-4.109,0.0385,0.11,0.0,0.1,0.294,76.049,きみのうた,370387,spotify:track:2HJHRrQdNhU6c2gPh81t6a,2
0.626,0.758,5,-4.643,0.0436,0.0152,0.0,0.14,0.821,130.047,ないない,254093,spotify:track:2lD8rPegYoYC1WucU3vU1W,2
0.659,0.911,7,-4.418,0.0516,0.0557,0.0,0.112,0.527,129.988,世界は恋に落ちている,311293,spotify:track:3pCc4xUyz0IIOvrwBlGtDW,2
0.63,0.538,6,-7.059,0.0318,0.0871,0.0,0.0952,0.238,98.012,プリズム,238667,spotify:track:12ZIRTS8x9RBgasDg3q27J,2
0.484,0.66,1,-6.127,0.0285,0.164,0.0,0.252,0.442,150.103,最後の花弁 (The meaning of love),231170,spotify:track:1jRdam0Y2o2vVtvltJK0tH,4
0.412,0.885,2,-3.812,0.0578,0.00157,0.0,0.132,0.569,90.027,うらがわの存在,266227,spotify:track:6sz0Rbp0MbQDIZDz6p5a3O,2
0.318,0.902,1,-4.605,0.131,0.0116,0.0,0.393,0.437,199.844,Cry Baby,240285,spotify:track:7vBX6cVsCPFSx2C58hpZ4f,0
0.791,0.595,10,-8.58,0.0338,0.385,0.0,0.163,0.676,99.996,リセット,249845,spotify:track:0iOGDICJeFjwB6OHaa04WR,2
0.623,0.541,8,-8.495,0.0408,0.014,0.00616,0.106,0.338,127.979,Break,293520,spotify:track:4hWhNL4cLfhLrt4Un3pdMG,2
0.605,0.859,5,-4.436,0.175,0.495,7.71e-05,0.389,0.705,123.976,BAD CANDY,226095,spotify:track:3doxURNybgE4qvvItG1Qk4,0
0.523,0.67,4,-5.477,0.0286,0.0236,2.57e-05,0.124,0.337,89.974,Fluorite Eye's Song,344493,spotify:track:5PNDfkz1cslaAcC7fk9tGE,2
0.353,0.926,1,-3.827,0.149,0.00138,5.92e-05,0.234,0.157,162.046,from the edge,278656,spotify:track:1HXRps6gmF8yMZPsJ6n9Zk,0
0.609,0.634,1,-5.669,0.0297,0.134,0.0,0.0878,0.449,88.004,魔法,231956,spotify:track:0LL0hFBywgFHO89WSp00xW,2
0.52,0.682,2,-5.508,0.0632,0.0969,0.0,0.123,0.475,169.948,変わりゆくもの変わらないもの,261600,spotify:track:3u5ARrvauL1jRsZfOS0Fn0,2
0.558,0.86,10,-4.074,0.0305,0.00033,1.35e-06,0.107,0.177,139.959,標火,282000,spotify:track:35Jqe3J7c8A2R6T5XhpBK6,2
0.393,0.75,10,-4.582,0.0451,0.000538,0.0,0.267,0.531,198.068,aLIEz,268224,spotify:track:7tciSZq2IbazfaWU90mQwk,4
0.592,0.769,2,-5.268,0.0311,0.319,4.66e-06,0.137,0.385,102.033,ヒカレイノチ,322147,spotify:track:4uVvqoI2sWncxvqgwRZ1H9,2
0.587,0.545,1,-7.533,0.0265,0.0882,2.98e-06,0.0917,0.222,130.016,Lost Game,244854,spotify:track:2IP8yxZvYVXvaJAEEK1AIV,2
0.475,0.881,7,-1.846,0.0407,0.033,0.0,0.0513,0.582,180.05,Shout Baby,265987,spotify:track:3SNczkrn6bUm6zZM8i5XDe,2
0.399,0.838,11,-3.241,0.0455,0.0753,0.00123,0.151,0.327,176.009,世界の秘密,349373,spotify:track:22WF5vcNEN1KHd56QV8gsE,2
0.688,0.705,0,-6.58,0.0383,0.0972,0.0,0.215,0.361,128.037,BEAUTIFUL,230947,spotify:track:2qTBVFldq01eNa40hin4FV,2
0.648,0.515,3,-8.411,0.0281,0.506,0.00141,0.0596,0.742,165.928,HOME,291564,spotify:track:4FSejBjuCSqv0NsJskPShe,2
0.312,0.726,5,-3.953,0.0454,0.0393,1.5e-06,0.144,0.347,118.385,フリイジア,253373,spotify:track:6to6TiKkMz1o7fGyxw8se5,2
